id,strategy,company_extracted,role_extracted,yoe_extracted,company_golden,role_golden,yoe_golden,company_match,role_match,yoe_match,accuracy,latency,input_tokens,output_tokens,cost,judge_score,judge_reason
j01,zero_shot,Acme Corp,Senior Software Engineer,5,Acme Corp,Senior Software Engineer,5.0,True,True,True,1.0,4.87,94,29,9.1e-05,4,The extracted results are mostly accurate but miss the requirement for strong skills in Python and distributed systems.
j02,zero_shot,Northwind Ltd,Data Analyst,2,Northwind Ltd,Data Analyst,2.0,True,True,True,1.0,1.638,98,28,9.1e-05,5,The extracted results perfectly match the expected results.
j03,zero_shot,Globex International,Product Manager - Growth,4,Globex International,Product Manager - Growth,4.0,True,True,True,1.0,1.383,102,31,9.7e-05,5,The extracted results perfectly match the expected results with no missing or incorrect information.
j04,zero_shot,Initech,Lead DevOps Engineer,6,Initech,Lead DevOps Engineer,6.0,True,True,True,1.0,1.329,102,29,9.4e-05,5,The extracted results perfectly match the expected results with no missing or incorrect information.
j05,zero_shot,Hooli,Junior Frontend Developer,,Hooli,Junior Frontend Developer,0.0,True,True,False,0.6667,1.433,97,29,9.2e-05,4,"The extracted results are accurate but use ""None"" instead of ""0"" for years of experience required, which is a minor discrepancy."
j06,zero_shot,Pied Piper Inc.,Senior ML Engineer,7,Pied Piper Inc.,Senior ML Engineer,7.0,True,True,True,1.0,1.332,100,30,9.5e-05,4,"The extracted results correctly identify the company, role, and years of experience required, but they miss the nuance that exceptional candidates with less experience are also welcome."
j07,zero_shot,Soylent Industries,Engineering Manager,3,Soylent Industries,Engineering Manager,3.0,True,True,True,1.0,1.724,100,30,9.5e-05,5,"The extracted results perfectly match the expected results in terms of company, role, and years of experience required."
j08,zero_shot,Wonka Confectionery Ltd.,Senior UX Researcher,5,Wonka Confectionery Ltd,Senior UX Researcher,5.0,False,True,True,0.6667,1.333,93,33,9.6e-05,4,The extracted results are accurate but missed the detail about the equivalent portfolio being acceptable.
j09,zero_shot,Stark Industries,Cybersecurity Analyst,3,Stark Industries,Cybersecurity Analyst,3.0,True,True,True,1.0,1.307,97,30,9.3e-05,4,The extracted results are mostly accurate but lack the full range of years of experience required (3 to 5 years).
j10,zero_shot,Cyberdyne Systems,AI/ML Research Scientist,,Cyberdyne Systems,AI/ML Research Scientist,,True,True,True,1.0,2.047,104,32,0.0001,5,"The extracted results perfectly match the expected results, accurately reflecting the job posting details."
j01,few_shot,Acme Corp,Senior Software Engineer,5,Acme Corp,Senior Software Engineer,5.0,True,True,True,1.0,1.323,177,41,0.00015,4,The extracted results are mostly accurate but miss the requirement for strong skills in Python and distributed systems.
j02,few_shot,Northwind Ltd,Data Analyst,2,Northwind Ltd,Data Analyst,2.0,True,True,True,1.0,1.74,181,28,0.000133,5,The extracted results perfectly match the expected results.
j03,few_shot,Globex International,Product Manager - Growth,4,Globex International,Product Manager - Growth,4.0,True,True,True,1.0,1.664,186,31,0.00014,5,The extracted results perfectly match the expected results with no missing or incorrect information.
j04,few_shot,Initech,Lead DevOps Engineer,6,Initech,Lead DevOps Engineer,6.0,True,True,True,1.0,1.236,185,29,0.000136,5,The extracted results perfectly match the expected results with no missing or incorrect information.
j05,few_shot,Hooli,Junior Frontend Developer,,Hooli,Junior Frontend Developer,0.0,True,True,False,0.6667,1.659,180,30,0.000135,4,"The extracted results are accurate but use ""None"" instead of ""0"" for years of experience required, which is a minor discrepancy."
